name,start_date,end_date,region,track,url,has_guide,available_places
Скалолазание и альпинизм в Крыму,2014-05-01,2014-05-07,Crimea,"",http://tracking.org.ua/rock/crimea.html,yes,10
Скалолазание и альпинизм в Крыму,2014-05-09,2014-05-11,Crimea,"",http://tracking.org.ua/rock/crimea.html,yes,10
"Поход ""Через горы к морю""",2014-05-01,2014-05-07,Crimea,"",http://tracking.org.ua/trekking/allwest2.html,yes,10
"Поход ""Экстремальный Крым""",2014-05-01,2014-05-10,Crimea,"",http://tracking.org.ua/trekking/allwest.html,yes,10
"Поход ""Экстремальный Крым №2""",2014-05-02,2014-05-09,Crimea,"",http://tracking.org.ua/trekking/allwest.html,yes,10
"Поход ""Дикими тропами""",2014-05-01,2014-05-04,Crimea,"",http://tracking.org.ua/trekking/allwest.html,yes,10
"Поход ""Дикими тропами""",2014-05-08,2014-05-11,Crimea,"",http://tracking.org.ua/trekking/allwest.html,yes,10
"Поход ""Загадочная Демерджи""",2014-05-02,2014-05-04,Crimea,"",http://tracking.org.ua/trekking/demergi.html,yes,10
Поход по пещерным городам и монастырям Крыма,2014-05-09,2014-05-11,Crimea,"",http://tracking.org.ua/trekking/mangup.html,yes,10
"Поход ""Экстремальный Крым""",2014-06-11,2014-06-20,Crimea,"",http://tracking.org.ua/trekking/allwest.html,yes,10
"Поход ""Через горы к морю""",2014-06-21,2014-06-27,Crimea,"",http://tracking.org.ua/trekking/allwest2.html,yes,10
Скалолазание и альпинизм в Крыму,2014-06-21,2014-06-27,Crimea,"",http://tracking.org.ua/rock/crimea.html,yes,10
"Поход ""Дикими тропами""",2014-06-06,2014-06-09,Crimea,"",http://tracking.org.ua/trekking/allwest.html,yes,10
Спелеовыходные на Чатыр-Даге,2014-06-07,2014-06-09,Crimea,"",http://tracking.org.ua/speleo/eklizi.html,yes,10
Пещеры Крыма - Караби яйла,2014-06-13,2014-06-17,Crimea,"",http://tracking.org.ua/speleo/cave.html,yes,10
"Поход ""Экстремальный Крым №2""",2014-07-02,2014-07-09,Crimea,"",http://tracking.org.ua/trekking/allwest.html,yes,10
"Поход ""Восточные тропы""",2014-07-12,2014-07-18,Crimea,"",http://tracking.org.ua/trekking/alleast.html,yes,10
Скалолазание и альпинизм в Крыму,2014-07-19,2014-07-25,Crimea,"",http://tracking.org.ua/rock/crimea.html,yes,10
"Поход ""Через горы к морю""",2014-07-12,2014-07-28,Crimea,"",http://tracking.org.ua/trekking/allwest2.html,yes,10
Спелеовыходные на Чатыр-Даге,2014-08-09,2014-08-11,Crimea,"",http://tracking.org.ua/speleo/eklizi.html,yes,10
"Поход ""Три каньона""",2013-08-09,2013-08-14,Crimea,"",http://tracking.org.ua/trekking/3canyon.html,yes,10
Скалолазание и альпинизм в Крыму,2014-08-23,2014-08-29,Crimea,"",http://tracking.org.ua/rock/crimea.html,yes,10
Пещеры Крыма - Караби яйла,2014-08-13,2014-08-17,Crimea,"",http://tracking.org.ua/speleo/cave.html,yes,10
"Поход ""Весь Крым""",2014-09-13,2014-09-25,Crimea,"",http://tracking.org.ua/trekking/allcrimea.html,yes,10
"Поход ""Западные тропы""",2014-09-13,2014-09-18,Crimea,"",http://tracking.org.ua/trekking/allwest.html,yes,10
"Поход ""Восточные тропы""",2014-09-19,2014-09-25,Crimea,"",http://tracking.org.ua/trekking/alleast.html,yes,10
Спелеовыходные на Чатыр-Даге,2014-10-03,2014-10-05,Crimea,"",http://tracking.org.ua/speleo/eklizi.html,yes,10
Скалолазание и альпинизм в Крыму,2014-10-04,2014-10-09,Crimea,"",http://tracking.org.ua/rock/crimea.html,yes,10
Пещеры Крыма - Караби яйла,2014-10-08,2014-10-12,Crimea,"",http://tracking.org.ua/speleo/cave.html,yes,10
Скалолазание и альпинизм в Крыму,2014-11-08,2014-11-14,Crimea,"",http://tracking.org.ua/rock/crimea.html,yes,10
