name,start_date,end_date,region,url
Чорногора,2013-07-21,2013-07-25,Carpathian,http://ukr.marshrut-club.com/routes/8961
Дві Сивулі,2013-07-21,2013-07-25,Carpathian,http://ukr.marshrut-club.com/routes/9029
Горгани,2013-07-28,2013-08-02,Carpathian,http://ukr.marshrut-club.com/routes/8953
Свидовець,2013-07-28,2013-08-02,Carpathian,http://ukr.marshrut-club.com/routes/9040
Східні Горгани + Водоспади Карпат,2013-08-04,2013-08-09,Carpathian,http://ukr.marshrut-club.com/routes/8967
Горгани (лайт),2013-08-04,2013-08-09,Carpathian,http://ukr.marshrut-club.com/routes/9036
Чорногора,2013-08-11,2013-08-15,Carpathian,http://ukr.marshrut-club.com/routes/8962
Дві Сивулі,2013-08-11,2013-08-15,Carpathian,http://ukr.marshrut-club.com/routes/9028
Горгани (лайт),2013-08-18,2013-08-23,Carpathian,http://ukr.marshrut-club.com/routes/8955
Свидовець,2013-08-18,2013-08-23,Carpathian,http://ukr.marshrut-club.com/routes/9039
Східні Горгани,2013-08-24,2013-08-26,Carpathian,http://ukr.marshrut-club.com/routes/8958
Водоспади Карпат,2013-08-24,2013-08-26,Carpathian,http://ukr.marshrut-club.com/routes/8998
Чорногора,2013-08-25,2013-08-29,Carpathian,http://ukr.marshrut-club.com/routes/8964
Дві Сивулі,2013-08-25,2013-08-29,Carpathian,http://ukr.marshrut-club.com/routes/9027
Східні Горгани + Водоспади Карпат,2013-09-01,2013-09-06,Carpathian,http://ukr.marshrut-club.com/routes/8968
Свидовець,2013-09-01,2013-09-06,Carpathian,http://ukr.marshrut-club.com/routes/9038
Горгани (лайт),2013-09-08,2013-09-13,Carpathian,http://ukr.marshrut-club.com/routes/8956
Східні Горгани + Водоспади Карпат,2013-09-15,2013-09-20,Carpathian,http://ukr.marshrut-club.com/routes/9033
Дві Сивулі,2013-09-22,2013-09-26,Carpathian,http://ukr.marshrut-club.com/routes/9026
До Базового табору Аннапурни,2013-04-06,2013-04-21,Nepal,http://ukr.marshrut-club.com/routes/8930
До Базового табору Аннапурни,2013-10-27,2013-11-10,Nepal,http://ukr.marshrut-club.com/routes/8932
Лікійських стежка та Каппадокія,2013-05-18,2013-05-28,Turkey,http://ukr.marshrut-club.com/routes/8941
Лікійських стежка + море,2013-05-18,2013-05-25,Turkey,http://ukr.marshrut-club.com/routes/8991
Лікійських стежка та Каппадокія,2013-10-05,2013-10-15,Turkey,http://ukr.marshrut-club.com/routes/8944
Лікійських стежка + море,2013-10-05,2013-10-12,Turkey,http://ukr.marshrut-club.com/routes/8988
Південні Карпати та Замок Дракули,2013-08-11,2013-08-18,Romania,http://ukr.marshrut-club.com/routes/8947
З Теберди в Архиз,2013-07-21,2013-07-27,Caucasus,http://ukr.marshrut-club.com/routes/9043
Дністровський каньйон,2013-06-23,2013-06-28,Dnister,http://ukr.marshrut-club.com/routes/9047
Дністровський каньйон,2013-08-18,2013-08-23,Dnister,http://ukr.marshrut-club.com/routes/9048
